,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-BTC,2017-09-25T00:00:00,2017-09-25T09:00:00,4201000,4333000,4175000,4322000,1.50638E+12,560214613.8,132.484755,4201000,121000,0.028802666
1,KRW-BTC,2017-09-26T00:00:00,2017-09-26T09:00:00,4317000,4418000,4311000,4321000,1.50647E+12,99507239.79,22.78833969,4322000,-1000,-0.000231374
2,KRW-BTC,2017-09-27T00:00:00,2017-09-27T09:00:00,4322000,4677000,4318000,4657000,1.50656E+12,144827623,32.2696617,4321000,336000,0.077759778
3,KRW-BTC,2017-09-28T00:00:00,2017-09-28T09:00:00,4657000,4772000,4519000,4586000,1.50664E+12,372185978.3,80.5882434,4657000,-71000,-0.015245866
4,KRW-BTC,2017-09-29T00:00:00,2017-09-29T09:00:00,4586000,4709000,4476000,4657000,1.50673E+12,272455756.8,59.35237346,4586000,71000,0.015481901
5,KRW-BTC,2017-09-30T00:00:00,2017-09-30T09:00:00,4657000,4896000,4651000,4895000,1.50682E+12,95614755.71,19.99848332,4657000,238000,0.051105862
6,KRW-BTC,2017-10-01T00:00:00,2017-10-01T09:00:00,4889000,4978000,4682000,4962000,1.5069E+12,133132538.9,27.32333246,4895000,67000,0.013687436
7,KRW-BTC,2017-10-02T00:00:00,2017-10-02T09:00:00,4962000,5095000,4956000,5025000,1.50699E+12,159931532.8,31.72800385,4962000,63000,0.012696493
8,KRW-BTC,2017-10-03T00:00:00,2017-10-03T09:00:00,5021000,5079000,4811000,4964000,1.50708E+12,58901304.62,11.89930699,5025000,-61000,-0.012139304
9,KRW-BTC,2017-10-04T00:00:00,2017-10-04T09:00:00,4987000,5002000,4837000,4895000,1.50716E+12,34588125.3,7.03874388,4964000,-69000,-0.013900081
10,KRW-BTC,2017-10-05T00:00:00,2017-10-05T09:00:00,4894000,4993000,4811000,4926000,1.50725E+12,26371319.19,5.36365175,4895000,31000,0.006332993
11,KRW-BTC,2017-10-06T00:00:00,2017-10-06T09:00:00,4927000,5034000,4885000,5027000,1.50733E+12,123935127.5,25.16382027,4926000,101000,0.020503451
12,KRW-BTC,2017-10-07T00:00:00,2017-10-07T09:00:00,4983000,5070000,4935000,5047000,1.50742E+12,21667485.97,4.343932,5027000,20000,0.003978516
13,KRW-BTC,2017-10-08T00:00:00,2017-10-08T09:00:00,5044000,5263000,4993000,5217000,1.50751E+12,738294004.5,145.9178596,5047000,170000,0.033683376
14,KRW-BTC,2017-10-09T00:00:00,2017-10-09T09:00:00,5222000,5761000,5188000,5477000,1.50759E+12,43270591.14,8.07043419,5217000,260000,0.049837071
15,KRW-BTC,2017-10-10T00:00:00,2017-10-10T09:00:00,5469000,5665000,5459000,5486000,1.50768E+12,64822758.51,11.69369387,5477000,9000,0.001643235
16,KRW-BTC,2017-10-11T00:00:00,2017-10-11T09:00:00,5533000,5605000,5451000,5557000,1.50777E+12,23324891.84,4.21265003,5486000,71000,0.012942034
17,KRW-BTC,2017-10-12T00:00:00,2017-10-12T09:00:00,5569000,6377000,5515000,6332000,1.50785E+12,118992387,20.91828711,5557000,775000,0.139463739
18,KRW-BTC,2017-10-13T00:00:00,2017-10-13T09:00:00,6346000,6950000,6149000,6438000,1.50794E+12,175283223.8,26.82608423,6332000,106000,0.016740366
19,KRW-BTC,2017-10-14T00:00:00,2017-10-14T09:00:00,6427000,6664000,6322000,6664000,1.50803E+12,21713362.01,3.35282452,6438000,226000,0.03510407
20,KRW-BTC,2017-10-15T00:00:00,2017-10-15T09:00:00,6610000,6700000,6142000,6381000,1.50811E+12,48606365.59,7.63078273,6664000,-283000,-0.042466987
21,KRW-BTC,2017-10-16T00:00:00,2017-10-16T09:00:00,6403000,6527000,6282000,6491000,1.5082E+12,146271226.2,22.92663476,6381000,110000,0.017238677
22,KRW-BTC,2017-10-17T00:00:00,2017-10-17T09:00:00,6495000,6510000,6299000,6457000,1.50828E+12,27260409.2,4.24133721,6491000,-34000,-0.005238022
23,KRW-BTC,2017-10-18T00:00:00,2017-10-18T09:00:00,6413000,6489000,5876000,6391000,1.50837E+12,219208847.5,36.00111898,6457000,-66000,-0.010221465
24,KRW-BTC,2017-10-19T00:00:00,2017-10-19T09:00:00,6405000,6596000,6109000,6511000,1.50846E+12,76025647.17,11.95565558,6391000,120000,0.018776404
25,KRW-BTC,2017-10-20T00:00:00,2017-10-20T09:00:00,6536000,6954000,6395000,6928000,1.50854E+12,145159280.7,21.97426401,6511000,417000,0.064045462
26,KRW-BTC,2017-10-21T00:00:00,2017-10-21T09:00:00,6928000,7253000,6773000,6874000,1.50863E+12,38250145.45,5.46210809,6928000,-54000,-0.007794457
27,KRW-BTC,2017-10-22T00:00:00,2017-10-22T09:00:00,6858000,7060000,6709000,7039000,1.50872E+12,30054045.85,4.39101644,6874000,165000,0.024003491
28,KRW-BTC,2017-10-23T00:00:00,2017-10-23T09:00:00,7017000,7100000,6668000,6971000,1.5088E+12,97052524.49,14.03934445,7039000,-68000,-0.009660463
29,KRW-BTC,2017-10-24T00:00:00,2017-10-24T09:00:00,7034000,7052000,6350000,6479000,1.50889E+12,651377192.1,98.6742294,6971000,-492000,-0.070578109
30,KRW-BTC,2017-10-25T00:00:00,2017-10-25T09:00:00,6479000,6644000,6212000,6643000,1.50898E+12,695968675,108.3639736,6479000,164000,0.025312548
31,KRW-BTC,2017-10-26T00:00:00,2017-10-26T09:00:00,6643000,6873000,6534000,6811000,1.50906E+12,2881467622,428.5085197,6643000,168000,0.025289779
32,KRW-BTC,2017-10-27T00:00:00,2017-10-27T09:00:00,6765000,6950000,6633000,6710000,1.50915E+12,2917092204,431.2041296,6811000,-101000,-0.014828953
33,KRW-BTC,2017-10-28T00:00:00,2017-10-28T09:00:00,6708000,6800000,6600000,6715000,1.50924E+12,2708305313,404.1956362,6710000,5000,0.000745157
34,KRW-BTC,2017-10-29T00:00:00,2017-10-29T09:00:00,6715000,7030000,6588000,6961000,1.50932E+12,4413173510,656.2798937,6715000,246000,0.036634401
35,KRW-BTC,2017-10-30T00:00:00,2017-10-30T09:00:00,6961000,7007000,6809000,6964000,1.50941E+12,3621429304,521.8462842,6961000,3000,0.000430973
36,KRW-BTC,2017-10-31T00:00:00,2017-10-31T09:00:00,6965000,7479000,6965000,7422000,1.50949E+12,8331387759,1170.548125,6964000,458000,0.065766801
37,KRW-BTC,2017-11-01T00:00:00,2017-11-01T09:00:00,7422000,7799000,7256000,7798000,1.50958E+12,8657129768,1164.450599,7422000,376000,0.050660199
38,KRW-BTC,2017-11-02T00:00:00,2017-11-02T09:00:00,7790000,8596000,7500000,8217000,1.50967E+12,14621738292,1806.67768,7798000,419000,0.053731726
39,KRW-BTC,2017-11-03T00:00:00,2017-11-03T09:00:00,8219000,8478000,8000000,8143000,1.50975E+12,8480692937,1025.404587,8217000,-74000,-0.00900572
40,KRW-BTC,2017-11-04T00:00:00,2017-11-04T09:00:00,8136000,8400000,7560000,8346000,1.50984E+12,7137573137,881.5985132,8143000,203000,0.024929387
41,KRW-BTC,2017-11-05T00:00:00,2017-11-05T09:00:00,8345000,8620000,8280000,8453000,1.50993E+12,8409963563,993.499542,8346000,107000,0.012820513
42,KRW-BTC,2017-11-06T00:00:00,2017-11-06T09:00:00,8454000,8480000,8030000,8060000,1.51001E+12,15924418603,1914.096072,8453000,-393000,-0.04649237
43,KRW-BTC,2017-11-07T00:00:00,2017-11-07T09:00:00,8060000,8413000,8050000,8243000,1.5101E+12,15264884249,1858.955895,8060000,183000,0.022704715
