,market,candle_date_time_kst,trade_price,MA_7MA,MA_15MA,MA_30MA,MA_60MA,MACD,MA_7MA_BB_high,MA_7MA_BB_low,MA_15MA_BB_high,MA_15MA_BB_low,MA_30MA_BB_high,MA_30MA_BB_low,VMA_7MA,VMA_15MA,VMA_30MA,VMA_60MA
0,KRW-BTC,2017-09-25T09:00:00,4322000,,,,,0,,,,,,,,,,
1,KRW-BTC,2017-09-26T09:00:00,4321000,,,,,-22.43589744,,,,,,,,,,
2,KRW-BTC,2017-09-27T09:00:00,4657000,,,,,10390.75211,,,,,,,,,,
3,KRW-BTC,2017-09-28T09:00:00,4586000,,,,,12308.79524,,,,,,,,,,
4,KRW-BTC,2017-09-29T09:00:00,4657000,,,,,15917.15346,,,,,,,,,,
5,KRW-BTC,2017-09-30T09:00:00,4895000,,,,,27964.09589,,,,,,,,,,
6,KRW-BTC,2017-10-01T09:00:00,4962000,4628571.429,,,,38243.45852,5461448.839,4462551.161,,,,,53.54359843,,,
7,KRW-BTC,2017-10-02T09:00:00,5025000,4729000,,,,47517.45068,5519464.02,4530535.98,,,,,39.14977684,,,
8,KRW-BTC,2017-10-03T09:00:00,4964000,4820857.143,,,,50190.08554,5325882.907,4602117.093,,,,,37.59420074,,,
9,KRW-BTC,2017-10-04T09:00:00,4895000,4854857.143,,,,47801.62748,5228661.362,4561338.638,,,,,33.98978391,,,
10,KRW-BTC,2017-10-05T09:00:00,4926000,4903428.571,,,,47056.85394,5161595.295,4690404.705,,,,,23.24341367,,,
11,KRW-BTC,2017-10-06T09:00:00,5027000,4956285.714,,,,51418.65113,5137282.753,4916717.247,,,,,18.35933465,,,
12,KRW-BTC,2017-10-07T09:00:00,5047000,4978000,,,,55101.15196,5160771.701,4933228.299,,,,,16.12297017,,,
13,KRW-BTC,2017-10-08T09:00:00,5217000,5014428.571,,,,66994.45301,5428331.831,5005668.169,,,,,33.06504548,,,
14,KRW-BTC,2017-10-09T09:00:00,5477000,5079000,4865200,,,90537.82285,5886606.315,5067393.685,5489310.888,4241089.112,,,29.68539267,40.9553961,,
15,KRW-BTC,2017-10-10T09:00:00,5486000,5153571.429,4942800,,,107810.2716,5979398.902,4992601.098,5566910.888,4318689.112,,,29.65601937,32.9026587,,
16,KRW-BTC,2017-10-11T09:00:00,5557000,5248142.857,5025200,,,124038.8081,6072398.136,5041601.864,5623306.632,4427093.368,,,29.25229167,31.66427938,,
17,KRW-BTC,2017-10-12T09:00:00,6332000,5449000,5136866.667,,,183808.1595,7221575.929,5442424.071,6004897.893,4268835.441,,,31.47438244,30.90752108,,
18,KRW-BTC,2017-10-13T09:00:00,6438000,5650571.429,5260333.333,,,234305.5496,7503406.875,5372593.125,6302036.243,4218630.423,,,31.71184872,27.32337713,,
19,KRW-BTC,2017-10-14T09:00:00,6664000,5881571.429,5394133.333,,,285130.5119,7816345.352,5511654.648,6605477.302,4182789.365,,,31.57026194,23.59007387,,
20,KRW-BTC,2017-10-15T09:00:00,6381000,6047857.143,5493200,,,302258.7748,7415751.776,5346248.224,6770842.74,4215557.26,,,11.81496524,22.7655605,,
21,KRW-BTC,2017-10-16T09:00:00,6491000,6192714.286,5595133.333,,,319296.525,7432516.305,5549483.695,6933669.179,4256597.488,,,13.93727961,22.47244732,,
22,KRW-BTC,2017-10-17T09:00:00,6457000,6331428.571,5690600,,,326414.905,7171324.723,5742675.277,7058802.951,4322397.049,,,12.87265723,20.64000288,,
23,KRW-BTC,2017-10-18T09:00:00,6391000,6450571.429,5785733.333,,,323553.5514,6606767.953,6175232.047,7135737.03,4435729.637,,,17.41386708,22.24679034,,
24,KRW-BTC,2017-10-19T09:00:00,6511000,6476142.857,5893466.667,,,325864.7046,6702222.135,6319777.865,7195914.223,4591019.11,,,16.13349114,22.57458446,,
25,KRW-BTC,2017-10-20T09:00:00,6928000,6546142.857,6026933.333,,,353125.2307,7313805.527,6542194.473,7314717.802,4739148.865,,,15.44037397,23.68195861,,
26,KRW-BTC,2017-10-21T09:00:00,6874000,6576142.857,6150066.667,,,366411.0607,7329022.972,6418977.028,7380001.5,4920131.833,,,15.74170019,22.36851113,,
27,KRW-BTC,2017-10-22T09:00:00,7039000,6670142.857,6282866.667,,,384298.0143,7571211.022,6506788.978,7429725.449,5136007.884,,,15.27887644,22.37165009,,
28,KRW-BTC,2017-10-23T09:00:00,6971000,6738714.286,6399800,,,388882.9862,7518954.638,6423045.362,7432943.94,5366656.06,,,14.00926354,13.57974908,,
29,KRW-BTC,2017-10-24T09:00:00,6479000,6741857.143,6466600,5665900,,352214.8081,7019617.46,5938382.54,7364793.679,5568406.321,7463236.984,3868563.016,27.49967671,19.62000209,30.2876991,
30,KRW-BTC,2017-10-25T09:00:00,6643000,6777857.143,6543733.333,5743266.667,,331489.5911,7101985.009,6184014.991,7261652.735,5825813.932,7500601.477,3985931.856,37.83722737,26.06468741,29.48367305,
31,KRW-BTC,2017-10-26T09:00:00,6811000,6820714.286,6627333.333,5826266.667,,323827.867,7205148.389,6416851.611,7104492.586,6150174.081,7540313.214,4112220.119,97.34477938,54.35107872,43.00767905,
32,KRW-BTC,2017-10-27T09:00:00,6710000,6789571.429,6652533.333,5894700,,306619.2459,7099005.325,6320994.675,7101967.814,6203098.853,7579253.939,4210146.061,155.8061888,81.70346822,56.30549465,
33,KRW-BTC,2017-10-28T09:00:00,6715000,6766857.143,6671000,5965666.667,,289999.2607,7099542.028,6330457.972,7105159.944,6236840.056,7600738.854,4330594.479,212.7681213,106.8614384,67.09240774,
34,KRW-BTC,2017-10-29T09:00:00,6961000,6755714.286,6690800,6042466.667,,292071.0232,7311779.54,6610220.46,7149961.472,6231638.528,7639175.587,4445757.747,305.8951038,150.3899096,86.98999175,
35,KRW-BTC,2017-10-30T09:00:00,6964000,6754714.286,6729666.667,6111433.333,,290554.294,7311943.893,6616056.107,7174929.136,6284404.197,7681567.409,4541299.258,378.4389523,184.6709431,103.7182518,
36,KRW-BTC,2017-10-31T09:00:00,7422000,6889428.571,6791733.333,6193433.333,,320618.5122,7953547.247,6890452.753,7341664.481,6241802.186,7772094.72,4614771.946,531.5637946,261.1790424,141.8257449,
37,KRW-BTC,2017-11-01T09:00:00,7798000,7054428.571,6881133.333,6285866.667,,368973.8474,8613685.28,6982314.72,7606022.632,6156244.035,7905629.334,4666103.999,682.4333125,338.5263265,179.5831647,
